layer,kind,mean,median,p05,p95
historical 1985-2014,interannual,55.999674903296494,48.33103670225516,11.953704873833605,128.07206344919717
ssp126 2035-2064,interannual,52.46686660652929,46.205269439462086,11.104030038879115,121.25257386195479
ssp245 2035-2064,interannual,52.51212605080929,46.45139132540005,10.666915820107004,116.87020956525924
ssp370 2035-2064,interannual,50.86708162585943,45.495549215217345,10.89260990492972,115.01094461849472
ssp585 2035-2064,interannual,48.84992683369861,44.19219360951954,11.037250888658582,111.25546556773848
2035-2064,across_scenarios,7.11639501612341,5.891651196844838,1.0864553862398787,16.502625627482008
ssp126 2070-2099,interannual,53.53795008976337,47.49490548680573,11.16567855651383,120.04908579966128
ssp245 2070-2099,interannual,48.304801300504984,43.372872201139856,10.570789611566788,108.5102836073626
ssp370 2070-2099,interannual,48.90595533880853,44.5243482347697,10.179231399076379,104.58945694946354
ssp585 2070-2099,interannual,48.25723418801519,44.91052280014242,10.552424502532148,102.71759181017335
2070-2099,across_scenarios,12.410313760353933,12.42274151549446,1.9519560829939844,22.480978236930568
