group,ssp,window,series,stat,value,source
"1985-2014
baseline",baseline,1985-2014,Eq1 M (Eq. 1 footing),median,31.872407913208008,Eq1_M_histRF_mean_of_annual.tif
"1985-2014
baseline",baseline,1985-2014,M' (matched footing),median,20.432025909423828,New_M_2019_NLUM.tif
"SSP1-2.6
2035-2064",ssp126,2035-2064,Eq1 M (Eq. 1 footing),median,29.363998413085938,M_ssp126_2035-2064_mean.tif
"SSP1-2.6
2035-2064",ssp126,2035-2064,M' (matched footing),median,19.333351135253906,maxAbgMF_ssp126_2035-2064_mean.tif
"SSP2-4.5
2035-2064",ssp245,2035-2064,Eq1 M (Eq. 1 footing),median,25.85446548461914,M_ssp245_2035-2064_mean.tif
"SSP2-4.5
2035-2064",ssp245,2035-2064,M' (matched footing),median,17.44548988342285,maxAbgMF_ssp245_2035-2064_mean.tif
"SSP3-7.0
2035-2064",ssp370,2035-2064,Eq1 M (Eq. 1 footing),median,28.440397262573242,M_ssp370_2035-2064_mean.tif
"SSP3-7.0
2035-2064",ssp370,2035-2064,M' (matched footing),median,18.969676971435547,maxAbgMF_ssp370_2035-2064_mean.tif
"SSP5-8.5
2035-2064",ssp585,2035-2064,Eq1 M (Eq. 1 footing),median,29.507225036621094,M_ssp585_2035-2064_mean.tif
"SSP5-8.5
2035-2064",ssp585,2035-2064,M' (matched footing),median,19.700210571289062,maxAbgMF_ssp585_2035-2064_mean.tif
"SSP1-2.6
2070-2099",ssp126,2070-2099,Eq1 M (Eq. 1 footing),median,24.947908401489258,M_ssp126_2070-2099_mean.tif
"SSP1-2.6
2070-2099",ssp126,2070-2099,M' (matched footing),median,16.879953384399414,maxAbgMF_ssp126_2070-2099_mean.tif
"SSP2-4.5
2070-2099",ssp245,2070-2099,Eq1 M (Eq. 1 footing),median,28.170549392700195,M_ssp245_2070-2099_mean.tif
"SSP2-4.5
2070-2099",ssp245,2070-2099,M' (matched footing),median,18.80645751953125,maxAbgMF_ssp245_2070-2099_mean.tif
"SSP3-7.0
2070-2099",ssp370,2070-2099,Eq1 M (Eq. 1 footing),median,21.952550888061523,M_ssp370_2070-2099_mean.tif
"SSP3-7.0
2070-2099",ssp370,2070-2099,M' (matched footing),median,15.01246452331543,maxAbgMF_ssp370_2070-2099_mean.tif
"SSP5-8.5
2070-2099",ssp585,2070-2099,Eq1 M (Eq. 1 footing),median,21.933300018310547,M_ssp585_2070-2099_mean.tif
"SSP5-8.5
2070-2099",ssp585,2070-2099,M' (matched footing),median,15.170599937438965,maxAbgMF_ssp585_2070-2099_mean.tif
