ssp,window,averaging_order,layer,Mprime_modelled_mean,Mprime_modelled_median,Mprime_observed_mean,ratio_modelled_over_observed_median,ratio_p05,ratio_p95,pct_change_vs_New_M_2019_median,pct_change_p05,pct_change_p95,pct_cells_declining
ssp126,2035-2064,mean_of_annual,maxAbgMF_ssp126_2035-2064_mean.tif,45.088966493188394,19.333351135253906,46.10143959573214,0.944111897413903,0.6710589788385849,1.1781171727564697,-3.168804418045115,-22.448551475935464,16.21658181553086,67.34907833886085
ssp126,2035-2064,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp126_2035-2064.tif,45.243141540893134,19.50124740600586,45.324835667507834,0.9908281244791717,0.7987711721499112,1.228464846264338,-2.6228442961248075,-22.628375265260253,26.69903251781674,63.75033835714328
ssp126,2070-2099,mean_of_annual,maxAbgMF_ssp126_2070-2099_mean.tif,42.72268891437936,16.879953384399414,43.62226115159544,0.9441118991015064,0.6710589810722014,1.1781172323218778,-13.130499363791182,-35.440748558432034,4.689658121215085,90.33644811179104
ssp126,2070-2099,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp126_2070-2099.tif,42.8078851460208,16.962261199951172,42.89612871117341,0.9908281071976041,0.7987711948408122,1.2284647850775343,-12.344459242569128,-36.082435611380234,10.82335126029252,87.75561866923542
ssp245,2035-2064,mean_of_annual,maxAbgMF_ssp245_2035-2064_mean.tif,44.11143155059821,17.44548988342285,45.05304768580761,0.9441118927845119,0.6710589990818534,1.178117186923433,-11.216073440925106,-32.768041580071255,8.767505261996165,81.85827827497731
ssp245,2035-2064,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp245_2035-2064.tif,44.247788544144115,17.623994827270508,44.33821698142932,0.9908281422972596,0.7987712104952092,1.2284648102174611,-10.192442659327133,-33.131003809273736,14.423218718734423,78.8556074996762
ssp245,2070-2099,mean_of_annual,maxAbgMF_ssp245_2070-2099_mean.tif,45.85331453064198,18.80645751953125,46.94982986064524,0.9441118922655222,0.6710589977651782,1.1781172030882865,-5.112589832309162,-25.706127330429755,26.250869579906656,68.92530871181056
ssp245,2070-2099,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp245_2070-2099.tif,46.16045612644848,19.202409744262695,46.29492633949508,0.9908281218822502,0.7987712066636045,1.2284648477114657,-4.029441390371792,-25.475440176162746,42.024608443736334,65.2074123897581
ssp370,2035-2064,mean_of_annual,maxAbgMF_ssp370_2035-2064_mean.tif,45.0770871353976,18.969676971435547,46.13564265792935,0.944111915892226,0.671058990865439,1.1781171672041904,-5.108600207215619,-22.879057374785138,18.60885311404969,72.67357990985865
ssp370,2035-2064,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp370_2035-2064.tif,45.28751782635787,19.185386657714844,45.39378284494676,0.9908280886933265,0.7987711918037071,1.2284648061579548,-4.2788860099912185,-22.845322666074015,32.64079149847599,68.64796726241003
ssp370,2070-2099,mean_of_annual,maxAbgMF_ssp370_2070-2099_mean.tif,41.69161212820378,15.01246452331543,42.58471169051551,0.9441118940463126,0.6710589635733947,1.1781170887174333,-21.857743688262147,-49.61725325667758,6.560728643030448,90.4984570339257
ssp370,2070-2099,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp370_2070-2099.tif,41.90209303422624,15.420231819152832,42.04215751260637,0.9908280997960005,0.7987712091369398,1.2284648522826065,-20.06327319903495,-49.50935316310638,19.602471943124282,87.2635686784859
ssp585,2035-2064,mean_of_annual,maxAbgMF_ssp585_2035-2064_mean.tif,44.7703421081049,19.700210571289062,45.88572608264681,0.9441118728757217,0.6710589917125132,1.1781171789749836,-4.328469050405691,-18.919069227705346,34.018948504433126,66.85764648330668
ssp585,2035-2064,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp585_2035-2064.tif,45.05230311138577,20.093050003051758,45.16800451383309,0.9908280866108723,0.798771212709935,1.2284648776982534,-3.620960977488268,-18.55846227465182,52.7530421682928,63.5982627238458
ssp585,2070-2099,mean_of_annual,maxAbgMF_ssp585_2070-2099_mean.tif,40.98602221040108,15.170599937438965,41.892942768576745,0.9441118699288035,0.6710589529627558,1.1781171627913316,-22.788160813752878,-48.800950362567946,5.666909203222406,91.26856723593086
ssp585,2070-2099,eq1_of_mean,maxAbgMF_from_mean_fpi_ssp585_2070-2099.tif,41.21612763232669,15.533135414123535,41.37003378166445,0.9908281094358565,0.7987712048984519,1.2284648544786991,-21.18758723086136,-48.40464111726356,19.323096960109297,87.79362679613197
