var,year,set,status,months,lat,lon,lat_min,lat_max,lon_min,lon_max,nan_pct,min,max
hurs,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,15.547,95.249
hursmax,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,24.185,102.897
hursmin,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,7.299,86.781
pr,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.001,2383.167
rsds,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,33.459,380.674
tasmax,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,1.108,43.131
tasmin,1985,historical,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,-6.273,29.88
hurs,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,14.593,94.888
hursmax,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,23.875,100.0
hursmin,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,7.198,87.319
pr,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.001,1347.794
rsds,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,34.679,378.965
tasmax,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,2.634,45.184
tasmin,2035,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,-5.945,31.49
pr,2099,ssp126,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.0,1694.988
pr,2099,ssp245,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.0,1970.339
pr,2099,ssp370,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.0,2113.383
pr,2099,ssp585,ok,12,326,390,-44.77,-9.02,111.91,154.7,0.0,0.0,2288.474
