file,dir,height,width,res_x,res_y,origin_x,origin_y,crs,dtype,nodata,finite_pct,role
AWC_000_005_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
AWC_005_015_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
AWC_015_030_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
AWC_030_060_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
AWC_060_100_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
AWC_100_200_EV_N_P_AU_NAT_C_20140801_NLUM.tif,AWC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_000_005_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_005_015_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_015_030_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_030_060_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_060_100_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
BDW_100_200_EV_N_P_AU_NAT_C_20140801_NLUM.tif,BDW,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
CEC_000_005_EV_N_P_AU_TRN_N_20220826_NLUM.tif,CEC,3364,4071,0.01,-0.01,112.925,-10.015,"GEOGCS[""GDA94"",DATUM[""unnamed"",SPHEROID[",float32,,50.796,soil
