year,fpi_cells,soil_complete_cells,both,fpi_without_soil,soil_without_fpi,pct_fpi_lost
1985,6956407,6956407,6956407,0,0,0.0
1986,6956407,6956407,6956407,0,0,0.0
1987,6956407,6956407,6956407,0,0,0.0
1988,6956407,6956407,6956407,0,0,0.0
1989,6956407,6956407,6956407,0,0,0.0
1990,6956407,6956407,6956407,0,0,0.0
1991,6956407,6956407,6956407,0,0,0.0
1992,6956407,6956407,6956407,0,0,0.0
1993,6956407,6956407,6956407,0,0,0.0
1994,6956407,6956407,6956407,0,0,0.0
1995,6956407,6956407,6956407,0,0,0.0
1996,6956407,6956407,6956407,0,0,0.0
1997,6956407,6956407,6956407,0,0,0.0
1998,6956407,6956407,6956407,0,0,0.0
1999,6956407,6956407,6956407,0,0,0.0
2000,6956407,6956407,6956407,0,0,0.0
2001,6956407,6956407,6956407,0,0,0.0
2002,6956407,6956407,6956407,0,0,0.0
2003,6956407,6956407,6956407,0,0,0.0
2004,6956407,6956407,6956407,0,0,0.0
2005,6956407,6956407,6956407,0,0,0.0
2006,6956407,6956407,6956407,0,0,0.0
2007,6956407,6956407,6956407,0,0,0.0
2008,6956407,6956407,6956407,0,0,0.0
2009,6956407,6956407,6956407,0,0,0.0
2010,6956407,6956407,6956407,0,0,0.0
2011,6956407,6956407,6956407,0,0,0.0
2012,6956407,6956407,6956407,0,0,0.0
2013,6956407,6956407,6956407,0,0,0.0
2014,6956407,6956407,6956407,0,0,0.0
2022,6956407,6956407,6956407,0,0,0.0
