feature,importance,kind
SOC_000_005_NAT_N_20220727,0.1679862422480515,soil
hurs_ann,0.13303921943530497,climate
pr_ann,0.10423148630048197,climate
hursmin_ann,0.07731076982452904,climate
hurs_m11,0.06845376076172963,climate
SOC_015_030_NAT_N_20220727,0.05241445362355662,soil
hursmax_ann,0.04844920626855266,climate
BDW_000_005_NAT_C_20140801,0.031646369865675365,soil
hurs_m03,0.020748398366450913,climate
SOC_005_015_NAT_N_20220727,0.016826071077325328,soil
BDW_005_015_NAT_C_20140801,0.014315480143956021,soil
hursmax_m03,0.01341871416124934,climate
hursmin_m03,0.011645210781583787,climate
SLT_100_200_TRN_N_20210902,0.011071100817694725,soil
hurs_m12,0.007341022882724266,climate
hursmax_m11,0.0071198678027604104,climate
hursmax_m02,0.007048573416888812,climate
pHc_060_100_NAT_C_20210913,0.006026929218876361,soil
pHc_030_060_NAT_C_20210913,0.0054976558540247265,soil
SND_000_005_TRN_N_20210902,0.005290068345624052,soil
hurs_m02,0.0049207768155842945,climate
SND_005_015_TRN_N_20210902,0.004660328161467744,soil
pHc_100_200_NAT_C_20210913,0.004565458785179113,soil
hursmin_m11,0.004506189992588102,climate
hursmin_m02,0.004380267023175771,climate
SND_100_200_TRN_N_20210902,0.004288199346675729,soil
pr_m11,0.004136408607127565,climate
hursmin_m01,0.003974433091451533,climate
hurs_m01,0.003741529627681383,climate
hursmin_m12,0.003677893376408996,climate
CLY_060_100_TRN_N_20210902,0.0035603347726605675,soil
hursmin_m10,0.003082301287319765,climate
BDW_030_060_NAT_C_20140801,0.0029891532900159653,soil
SLT_000_005_TRN_N_20210902,0.002683229459625077,soil
SND_060_100_TRN_N_20210902,0.0026713622615333454,soil
tasmin_ann,0.0025058572131247668,climate
rsds_ann,0.00250058184228667,climate
pr_m10,0.0024833223513573443,climate
hurs_m10,0.0024354407698614815,climate
SLT_005_015_TRN_N_20210902,0.002221432912245268,soil
NTO_000_005_NAT_C_20231101,0.002169117770309037,soil
SND_015_030_TRN_N_20210902,0.002165721922837924,soil
tasmin_m10,0.002127787246431464,climate
CLY_100_200_TRN_N_20210902,0.00208492509003727,soil
hursmin_m04,0.002011570438907752,climate
tasmin_m09,0.0019365701154658978,climate
Phos_005_015_NAT_C_20140801,0.0018891693548728362,soil
pHc_000_005_NAT_C_20210913,0.0018293619341593515,soil
tasmin_m01,0.001764896072996767,climate
pHc_005_015_NAT_C_20210913,0.0017366744154146507,soil
hurs_m04,0.0017290986001122191,climate
pr_m02,0.0017067313509564882,climate
Phos_000_005_NAT_C_20140801,0.0016672765935266962,soil
tasmin_m08,0.0016648147320742713,climate
CLY_030_060_TRN_N_20210902,0.001645090699879012,soil
SND_030_060_TRN_N_20210902,0.0015675930242355152,soil
rsds_m01,0.0015642331290020425,climate
pr_m12,0.0015149256718810348,climate
tasmin_m06,0.0015089534296102056,climate
pr_m09,0.0014659360516771408,climate
tasmin_m12,0.0014597531015981028,climate
rsds_m05,0.0014142511213461322,climate
pr_m04,0.0013983991932670114,climate
pHc_015_030_NAT_C_20210913,0.001381328869325086,soil
rsds_m06,0.0013604620090997,climate
pr_m03,0.0012870332192124842,climate
hursmax_m01,0.001285872704948141,climate
rsds_m07,0.001284992409745568,climate
rsds_m11,0.0012733698913437108,climate
rsds_m08,0.0012371358443062782,climate
CFP_015_030_TRN_N_20221006_CF_Class5,0.001222181648278755,soil
tasmin_m07,0.0012068940239146984,climate
pr_m01,0.001196969418911476,climate
rsds_m12,0.0011924157396783087,climate
BDW_100_200_NAT_C_20140801,0.0011794135123773472,soil
hursmin_m09,0.0011650888435070829,climate
CLY_005_015_TRN_N_20210902,0.0011475223768047632,soil
tasmax_m08,0.0011023286490219073,climate
tasmin_m02,0.0010810012820993717,climate
tasmax_m07,0.001027362234592146,climate
tasmin_m11,0.0010205514303779442,climate
