scenario,window,variable,mean,delta,pct_delta
historical,1985-2014,hurs,50.192786862952445,0.0,0.0
historical,1985-2014,hursmax,71.95677669488954,0.0,0.0
historical,1985-2014,hursmin,29.229242742539817,0.0,0.0
historical,1985-2014,pr,493.89665633039544,0.0,0.0
historical,1985-2014,rsds,242.7783027955023,0.0,0.0
historical,1985-2014,tasmax,28.23929388734975,0.0,0.0
historical,1985-2014,tasmin,15.225154350562386,0.0,0.0
ssp126,2035-2064,hurs,49.03151190120547,-1.161274961746976,-2.3136291772715234
ssp126,2035-2064,hursmax,70.54492904644862,-1.4118476484409257,-1.962077393248768
ssp126,2035-2064,hursmin,28.43127232016058,-0.7979704223792368,-2.7300413815301554
ssp126,2035-2064,pr,486.2900205172691,-7.606635813126331,-1.5401270115175314
ssp126,2035-2064,rsds,244.78031457930393,2.0020117838016347,0.8246254960798433
ssp126,2035-2064,tasmax,30.022909973891206,1.783616086541457,6.316078913504479
ssp126,2035-2064,tasmin,16.887228413177926,1.66207406261554,10.916631939131351
ssp126,2070-2099,hurs,47.589420063681544,-2.6033667992709013,-5.186734911490758
ssp126,2070-2099,hursmax,69.0418836149371,-2.914893079952435,-4.050894458922386
ssp126,2070-2099,hursmin,27.36408881417803,-1.8651539283617886,-6.3811229897080795
ssp126,2070-2099,pr,445.62412118012617,-48.27253515026928,-9.773812908337861
ssp126,2070-2099,rsds,246.84294903143055,4.064646235928251,1.6742213736257952
ssp126,2070-2099,tasmax,30.436965159648743,2.1976712722989937,7.782316658007785
ssp126,2070-2099,tasmin,17.11127563172177,1.8861212811593848,12.38819152654249
ssp245,2035-2064,hurs,48.0850799988558,-2.1077068640966488,-4.199222629043454
ssp245,2035-2064,hursmax,69.49446385726819,-2.4623128376213543,-3.4219332086844725
ssp245,2035-2064,hursmin,27.796079235432934,-1.4331635071068831,-4.903183841369512
ssp245,2035-2064,pr,458.7128150922197,-35.18384123817572,-7.123725335495945
ssp245,2035-2064,rsds,245.56621886121204,2.7879160657097373,1.148338230232239
ssp245,2035-2064,tasmax,30.391693475975067,2.152399588625318,7.62200215491054
ssp245,2035-2064,tasmin,17.19350248264981,1.9683481320874225,12.928263889913968
ssp245,2070-2099,hurs,48.452955322245096,-1.7398315407073497,-3.4662979472684516
ssp245,2070-2099,hursmax,69.5552997611939,-2.4014769336956476,-3.3373881432715753
ssp245,2070-2099,hursmin,28.215527716928413,-1.013715025611404,-3.4681535698359296
ssp245,2070-2099,pr,489.9082707427678,-3.988385587627647,-0.807534437924923
ssp245,2070-2099,rsds,245.7070676732528,2.9287648777504955,1.2063536337583927
ssp245,2070-2099,tasmax,31.487916559894536,3.248622672544787,11.503909005317093
ssp245,2070-2099,tasmin,18.369501002936943,3.1443466523745567,20.652313795809963
ssp370,2035-2064,hurs,48.658943480025506,-1.5338433829269391,-3.0559040029297053
ssp370,2035-2064,hursmax,69.88687423977235,-2.0699024551171874,-2.876591406941376
ssp370,2035-2064,hursmin,28.333229591072282,-0.8960131514675354,-3.0654682345344884
ssp370,2035-2064,pr,475.711508336839,-18.185147993556427,-3.68197430787856
ssp370,2035-2064,rsds,244.1703379403255,1.3920351448232111,0.57337708056875
ssp370,2035-2064,tasmax,30.593205515542948,2.353911628193199,8.335589542653798
ssp370,2035-2064,tasmin,17.513360715283564,2.2882063647211783,15.029117682716015
ssp370,2070-2099,hurs,45.65429661279118,-4.538490250161267,-9.042116474929488
ssp370,2070-2099,hursmax,66.37278249578621,-5.58399419910333,-7.760206134274928
ssp370,2070-2099,hursmin,26.25406148697628,-2.9751812555635375,-10.17878321983861
ssp370,2070-2099,pr,425.50444234696147,-68.39221398343398,-13.847474589437704
ssp370,2070-2099,rsds,246.16426537275356,3.385962577251263,1.3946726450688374
ssp370,2070-2099,tasmax,33.1544267676548,4.915132880305048,17.405296676015197
ssp370,2070-2099,tasmin,19.862270593400133,4.637116242837747,30.45694077095817
ssp585,2035-2064,hurs,48.49081124203825,-1.7019756209141974,-3.390876911380337
ssp585,2035-2064,hursmax,69.63389112348676,-2.3228855714027787,-3.228167905925326
ssp585,2035-2064,hursmin,28.279091954769715,-0.9501507877701023,-3.25068561009029
ssp585,2035-2064,pr,484.027694246627,-9.868962083768452,-1.9981836194425548
ssp585,2035-2064,rsds,244.4767135876513,1.6984107921489908,0.6995727264720196
ssp585,2035-2064,tasmax,30.777732260048605,2.538438372698856,8.989029197489923
ssp585,2035-2064,tasmin,17.686433049810184,2.4612786992477975,16.16587026033587
ssp585,2070-2099,hurs,45.32096260500341,-4.8718242579490365,-9.706223866889836
ssp585,2070-2099,hursmax,65.58777265636841,-6.369004038521126,-8.8511524988493
ssp585,2070-2099,hursmin,26.255295388050005,-2.9739473544898125,-10.174561758870244
ssp585,2070-2099,pr,432.0454160894664,-61.85124024092903,-12.523113782643879
ssp585,2070-2099,rsds,246.38923942570946,3.6109366302071635,1.4873391026416136
ssp585,2070-2099,tasmax,34.03388521284481,5.794591325495059,20.51960416790322
ssp585,2070-2099,tasmin,20.800127424739507,5.574973074177121,36.6168575096987
